Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-08-04 10:35:00,INT-30294/16,parkowanie na pasie zieleni,NISZCZENIE ZIELENI,KAMIENNA /,,0,2016-08-04 11:48:09
2016-08-04 10:25:00,INT-30310/16,kont handlu stoisko z owocami,HANDEL,GLINIANA /,MANDAT,50,2016-08-04 12:43:30
2016-08-04 08:40:00,INT-30311/16,mezczyzna spozywa alkochol pod sklepem,SPOŻYWANIE ALKOHOLU,ŚWIERADOWSKA /,MANDAT,100,2016-08-04 12:46:23
2016-08-04 13:13:02,INT-30315/16,"1. OD UL. JODŁOWEJ DO UL. ŁACIARSKIEJ, PARKOWANIE 4 POJAZDÓW NA CHODNIKU BRAK 1,5 M PRZEJSCIA DLA PIESZYCH.2. UL. ŁACIARSKA/ NANKIERA, PARKOWANIE 1 POJAZDU NA PRZEJSCIU DLA PIESZYCH.",NIEPRAWIDŁOWE PARKOWANIE,PLAC NANKIERA /,,100,2016-08-04 14:50:26
2016-08-04 13:15:16,INT-30316/16,Na zakazie parkujące pojazdy (przy prokuraturze).,NIEPRAWIDŁOWE PARKOWANIE,SĄDOWA 2/,,100,2016-08-04 14:28:14
2016-08-04 23:55:00,INT-30324/16,Między Partyzantów a Becka parkowanie na terenie zielonym.,NISZCZENIE ZIELENI,PIERWSZEJ DYWIZJI /,,0,2016-08-05 00:10:33
2016-08-04 14:17:54,INT-30323/16,SKRZYŻOWANIE Z UL. CHUDOBY ZAPARKOWANY NA SKRZYZOWANIU POJAZD MARKI RENAULT UTRUDNIA WIDOCZNOŚĆ I PRZEJAZD.,NIEPRAWIDŁOWE PARKOWANIE,KOŚCIUSZKI /,,0,2016-08-04 17:18:41
2016-08-04 14:46:10,INT-30326/16,"W PRZEJSCIU OŁAWSKIM POZOSTAWIONE LIŚCIE Z KUKURYDZY. ZGŁASZAJACY TWIERDZI, ŻE WYRZUCAJĄ JE OSOBY HANDLUJACE PRZED PRZEJŚCIEM WINOGRONOWYM.",PORZĄDKOWA,OŁAWSKA /,,100,2016-08-04 16:20:00
2016-08-04 14:58:24,INT-30327/16,"Z3.4042.70.2016.JRe-mail: W lokalu nr 1 mieszka kobita, która psimi odchodami zanieczyściła chodnik. ",PORZĄDKOWA,WOJANOWSKA 4/,,0,2016-08-10 15:28:37
2016-08-04 16:04:50,INT-30338/16,"UL. NOWOWIEJSKA   ""BIEDRONKA"" ZRYWAŁ Z DACHU PNĄCZA KTÓRE ROSNĄ NA TERENIE PODWÓRKA NOWOWIEJSKA 50-54 ",NISZCZENIE ZIELENI,NOWOWIEJSKA 50/2/,,0,2016-08-04 20:07:12
